src,cli,condition,framing,n_numbers,parsed_amount,naive_first,looks_corrected,raw_snip
GLM_T_0.json:378,CLI.C.568732810,blind_T,,80,3750.07,1.0,True,  1.  **分析案件事实与证据：**     *   **医疗费：** 原告主张2760.07元，法院查明原告支出2760.07元。此项有事实依据，应予支持
GLM_T_0.json:302,CLI.C.567792565,blind_T,,77,13390.51,1.0,True,  1.  **医疗费**:     *   A市某医院: 5585.14元。     *   A市某医院材料费: 18.99元。     *   C县某医院:
GLM_T_0.json:268,CLI.C.574655575,GN_2x_T,GN,74,3542,1.0,True,  1.  **医疗费：** 原告主张822元，有医院诊断证明及治疗意见为证，且被告未提出异议，予以支持。金额：822元。  2.  **交通费：** 原告主张
Doubao_N_1.0.json:389,CLI.C.573732498,G4_0.5x,G4,73,10398,1.0,True,首先梳理法定赔偿项目： 1. 医疗费：380+1801.85+113.34+41.5+272+47.2+220.9+52.26+66=2995.05元 2. 住
Kimi_N_0.6.json:996,CLI.C.576163397,E1_0.5x#r0,E1,63,500.0,60.0,True,我需要计算本案应支持的赔偿金额。  ## 一、责任划分分析  根据案件事实： - 被告驾驶收割机，已拉下离合但机器仍在转动 - 原告主动从机器前面倒玉米进仓，将
GLM_T_0.json:16,CLI.C.568896011,G1_0.5x_T,G1,60,8246.0,4247.0,True,  医药费：4247元（有票据及鉴定意见支持）。 伙食补助费：100元/天 × 19天 = 1900元（符合当地标准）。 营养费：虽无明确医嘱，但考虑到伤情（阴
Kimi_N_0.6.json:997,CLI.C.576163397,blind#r2,,60,387000.0,60.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 一、责任划分分析  根据《接处警登记表》： - 被告已拉下离合，但机器仍在运转 - 原告主动从机器前面倒玉
Kimi_N_0.6.json:999,CLI.C.576163397,E1_0.5x#r1,E1,58,123385.0,50.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 一、责任划分分析  根据《接处警登记表》： - 被告已拉下离合，但机器还在转 - 原告主动用篮子装玉米从机子前
Kimi_N_0.6.json:993,CLI.C.576163397,GN_2x#r2,GN,56,420000.0,60.0,True,我需要根据案件材料和法律规定计算赔偿金额。  ## 责任划分分析  根据公安机关《接处警登记表》： - 被告已拉下离合，但机器仍在运转 - 原告主动从机器前面倒
GLM_T_0.json:271,CLI.C.574655575,G1_2x_T,G1,55,8949.0,1.0,True,  1.  **医疗费：** 822元。有医院诊断证明和医疗费票据（或主张金额合理）支持，法院予以支持。 2.  **交通费：** 500元。原告主张500元，
Kimi_N_0.6.json:952,CLI.C.575227772,blind#r1,,54,23000.0,13.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 分析责任划分  根据行政处罚决定书： - 被告：行政拘留13日 + 罚款800元（侮辱300元 + 殴打他人5
Kimi_N_0.6.json:986,CLI.C.573732498,GL5_2x#r1,GL5,53,32000.0,1.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 赔偿项目计算  ### 1. 医疗费 - 中医外科诊所：380元 - A县某医院住院费：1801.85元 
GLM_T_0.json:300,CLI.C.567792565,GN_0.5x_T,GN,52,3904.0,1.0,True,  1.  **分析案件事实与证据：**     *   **侵权事实：** 被告击打原告头面部，致伤。被告已被行政处罚（拘留10日，罚款500元），说明侵权行
Kimi_N_0.6.json:992,CLI.C.576163397,GL5_0.5x#r2,GL5,52,263703.0,60.0,True,我需要根据案件材料和法律规定计算赔偿金额。  ## 一、责任划分分析  根据公安机关《接处警登记表》： - 被告已拉下离合，但机器仍在运转 - 原告主动从机器前
Kimi_N_0.6.json:998,CLI.C.576163397,E1_0.5x#r2,E1,51,123385.0,60.0,True,我需要计算本案应支持的赔偿金额，基于人身损害赔偿标准。  ## 责任划分分析  根据案情，被告已拉下离合但机器仍在运转，原告主动靠近机器前方倒玉米，双方均有过错
Kimi_N_0.6.json:951,CLI.C.575227772,GN_2x#r1,GN,50,29000.0,1.0,True,我需要根据案件材料，依法计算原告应获得的赔偿金额。  ## 赔偿项目计算  ### 1. 医疗费 - 医疗费：11399.34元  ### 2. 误工费 - 原
Kimi_N_0.6.json:989,CLI.C.576163397,GN_2x#r1,GN,50,428566.56,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 赔偿项目计算  ### 1. 医疗费 - 第一次住院：158479.43元 - 第一次门诊：91元 - 第二次
GLM_T_0.json:380,CLI.C.568732810,G1_0.5x_T,G1,49,6500.0,1.0,True,  1.  **分析用户请求：**     *   **角色：** 本案承办法官。     *   **任务：** 基于提供的案件材料，计算本案应支持的赔偿金额
Kimi_N_0.6.json:983,CLI.C.576163397,GN_0.5x#r1,GN,48,573982.99,60.0,True,我需要根据案件材料计算本案应支持的赔偿金额。  ## 责任划分分析  根据公安机关《接处警登记表》：被告已拉下离合，但机子还在转，原告主动从机子前面倒进仓里准备
Kimi_N_0.6.json:991,CLI.C.576163397,GN_0.5x#r2,GN,48,333705.0,50.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 一、责任划分分析  根据案情，原告在收割机未完全停止运转时，主动靠近机器倒玉米，存在重大过失；被告操作收割
Kimi_N_0.6.json:953,CLI.C.575227772,E1_2x#r1,E1,47,32000.0,11399.34,True,我需要根据案件材料计算应支持的赔偿金额。  **已查明的事实：** - 医疗费：11399.34元 - 住院天数：52天 - 鉴定费：660元 - 误工期、护理
Kimi_N_0.6.json:950,CLI.C.575227772,E1_2x#r2,E1,46,35328.06,1.0,True,我需要根据案件材料计算应支持的赔偿金额。  ## 分析各项损失  **1. 医疗费用** - 医疗费：11399.34元  **2. 住院期间相关费用（住院52
Kimi_N_0.6.json:1169,CLI.C.574324080,blind#r1,,46,17000.0,8285.82,True,我需要根据案件材料和法律规定，逐项审查原告诉请的赔偿金额，确定应支持的数额。  ## 一、医疗费：8285.82元（含救护车费120元）  - 原告主张8385
Kimi_N_0.6.json:988,CLI.C.576163397,blind#r0,,45,394446.05,60.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 一、责任划分分析  根据《接处警登记表》： - 被告已拉下离合，但机子还在转 - 原告主动用篮子装着玉米从
Kimi_N_0.6.json:990,CLI.C.576163397,GN_0.5x#r0,GN,45,318800.0,50.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 一、责任划分分析  根据《接处警登记表》记载： - 被告已拉下离合，但机子还在转 - 原告主动从机子前面倒
GLM_T_0.json:303,CLI.C.567792565,E1_0.5x_T,E1,43,21354,1.0,True,  1.  **医疗费**:     *   A市某医院: 5585.14元。     *   C县某医院: 9869.22元。     *   卫生材料费: 
Kimi_N_0.6.json:482,CLI.C.568896011,E1_2x#r2,E1,43,16950.0,1.0,True,我需要根据案件材料和法律规定，逐项审查原告的赔偿请求。  ## 逐项审查  ### 1. 医药费 4247元 - 原告主张4247元，有病案和票据支持 - 司法
Kimi_N_0.6.json:965,CLI.C.573732498,blind#r1,,43,22249.0,1.0,True,我需要计算原告应获得的赔偿金额，并扣除被告已支付的部分。  ## 赔偿项目计算  ### 1. 医疗费 - 中医外科诊所：380元 - A县某医院住院费：180
Kimi_N_0.6.json:977,CLI.C.576163397,blind#r1,,43,323705.0,50.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  ## 责任划分分析  根据《接处警登记表》： - 被告已拉下离合，但机子还在转 - 原告主动用篮子装着玉米从机子
Kimi_N_0.6.json:1161,CLI.C.568732810,blind#r1,,43,9832.68,1.0,True,我需要根据案件材料，分析双方过错比例，然后确定应支持的赔偿金额。  ## 一、确定各项损失金额  1. **医疗费**：2760.07元（有票据支持） 2. *
GLM_T_0.json:288,CLI.C.576163397,blind_T,,42,199565.51,1.0,True,  1.  **确定责任比例：**     *   被告作为收割机操作手，在作业完成后未确保机器完全停止运转、未提醒或制止原告靠近机器进行危险操作，存在过错。 
Kimi_N_0.6.json:994,CLI.C.573980528,GN_0.5x#r1,GN,42,8500.0,1.0,True,我需要根据案件材料计算原告应支持的赔偿金额。  ## 分析案件事实  1. **责任划分**：双方互殴，均被行政处罚（原告拘留11日+罚款600元；被告拘留13
Kimi_N_0.6.json:987,CLI.C.574828493,blind#r0,,41,22000.0,1.0,True,我需要根据案件材料计算原告应获得的赔偿金额。  **分析责任：** - 原告主动从后面搂被告腰、抓被告胳膊，试图阻止被告打其丈夫 - 被告在挣脱过程中导致原告骨
